Estado de aprovisionamiento
Identificador de suscripción,Nombre de la suscripción,Identificador de orden,Descripción,Fecha de facturación (aniversario),Nombre de la oferta,Nombre del servicio,Estado de suscripción,Estado de suscripción extra,Estado de aprovisionamiento
"""fb72b3ea-c30d-4302-bef3-d3cb42937144""","""Pago por uso""","""9f370582-2777-4298-8d4f-2964ff7e2f50""","""Pago por uso""",2,,"""Azure Service Component""",Enabled,None,Provisioned

Declaración
Período de facturación, Categoría de medición,Subcategoría de medición,Nombre de medición,Región de medidor,Referencia de almacén,Unidad,Cantidad consumida,Cantidad incluida,Dentro del compromiso,Cantidad excedente,Divisa,Uso por encima del límite,Tarifa de compromiso,Tarifa,Valor
07/07/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
07/07/2017,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000066069886088371277,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/master""","""{}""","""{}""",,
07/07/2017,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.007179,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
07/07/2017,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000089952722191810608,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/master""","""{}""","""{}""",,
07/07/2017,"""Data Services""","""cae64797-9ecf-4906-b517-6238c80c045f""","""SQL Database""","""Basic Database Days""",,"""Days""",0.999999999999999936,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/DB_A06BA4_transportes""","""{}""","""{}""",,
07/07/2017,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000331230461597442623,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/DB_A06BA4_transportes""","""{}""","""{}""",,
07/07/2017,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000373629853129386897,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/DB_A06BA4_transportes""","""{}""","""{}""",,
08/07/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
08/07/2017,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.004149,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
08/07/2017,"""Data Services""","""cae64797-9ecf-4906-b517-6238c80c045f""","""SQL Database""","""Basic Database Days""",,"""Days""",0.999999999999999936,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/DB_A06BA4_transportes""","""{}""","""{}""",,
09/07/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
09/07/2017,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.002558,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
09/07/2017,"""Data Services""","""cae64797-9ecf-4906-b517-6238c80c045f""","""SQL Database""","""Basic Database Days""",,"""Days""",0.999999999999999936,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/DB_A06BA4_transportes""","""{}""","""{}""",,
10/07/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
10/07/2017,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.006272,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
10/07/2017,"""Data Services""","""cae64797-9ecf-4906-b517-6238c80c045f""","""SQL Database""","""Basic Database Days""",,"""Days""",0.999999999999999936,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/DB_A06BA4_transportes""","""{}""","""{}""",,
11/07/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
11/07/2017,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.013248,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
11/07/2017,"""Data Services""","""cae64797-9ecf-4906-b517-6238c80c045f""","""SQL Database""","""Basic Database Days""",,"""Days""",0.999999999999999936,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/DB_A06BA4_transportes""","""{}""","""{}""",,
12/07/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.020160,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
12/07/2017,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.007476,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
12/07/2017,"""Data Services""","""cae64797-9ecf-4906-b517-6238c80c045f""","""SQL Database""","""Basic Database Days""",,"""Days""",0.624999999999999960,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/DB_A06BA4_transportes""","""{}""","""{}""",,
